Timestamp,Score,Teie vanus,Teie sugu,Kõrgeim omandatud haridustase,Kas te olete kunagi õppinud või töötanud tehisintellekti valdkonnas?,Kas olete sarnast testi varem teinud?,"Kas see on päris inimene, mitte tehisvõrgu poolt genereeritud pilt?","Kui paljud seda testi tegevad inimesed teie arvates vastavad, et see oli päris inimene? [Ma ütleks...]","Kas see on päris inimene, mitte tehisvõrgu poolt genereeritud pilt?","Kui paljud seda testi tegevad inimesed teie arvates vastavad, et see oli päris inimene? [Ma ütleks...]","Kas see on päris inimene, mitte tehisvõrgu poolt genereeritud pilt?","Kui paljud seda testi tegevad inimesed teie arvates vastavad, et see oli päris inimene? [Ma ütleks...]","Kas see on päris inimene, mitte tehisvõrgu poolt genereeritud pilt?","Kui paljud seda testi tegevad inimesed teie arvates vastavad, et see oli päris inimene? [Ma ütleks...]",Kumb neist on päris inimene?,"Kui paljud inimesed teie arvates vastavad, et vasakpoolsel pildil oli päris inimene ja parempoolne pilt oli tehisintellekti poolt loodud? [Ma ütleks...]",Kumb neist on päris inimene?,"Kui paljud inimesed teie arvates vastavad, et vasakpoolsel pildil oli päris inimene ja parempoolne pilt oli tehisintellekti poolt loodud? [Ma ütleks...]",Kumb neist on päris inimene?,"Kui paljud inimesed teie arvates vastavad, et vasakpoolsel pildil oli päris inimene ja parempoolne pilt oli tehisintellekti poolt loodud? [Ma ütleks...]",Kumb neist on päris inimene?,"Kui paljud inimesed teie arvates vastavad, et vasakpoolsel pildil oli päris inimene ja parempoolne pilt oli tehisintellekti poolt loodud? [Ma ütleks...]",Kas see teos on inimese loodud?,"Kui paljud inimesed teie arvates vastavad, et selle teose on loonud inimene? [Ma ütleks...]",Kas see teos on inimese loodud?,"Kui paljud inimesed teie arvates vastavad, et selle teose on loonud inimene? [Ma ütleks...]"
4/18/2020 13:32:46,9 / 10,30,M,Magistrikraad,Ei,Ei,Pigem jah,70%,Pigem ei,40%,Pigem jah,50%,Pigem ei,60%,Ma ei tea,50%,Pigem vasakpoolne,50%,Kindlasti parempoolne,30%,Kindlasti vasakpoolne,60%,Pigem ei,40%,Pigem jah,50%
4/20/2020 10:03:38,8 / 10,28,M,Magistrikraad,Ei,Ei,Pigem jah,80%,Pigem ei,60%,Pigem ei,60%,Pigem ei,40%,Pigem vasakpoolne,70%,Pigem parempoolne,40%,Pigem parempoolne,40%,Pigem vasakpoolne,70%,Pigem ei,30%,Pigem jah,60%
4/20/2020 11:12:15,8 / 10,30,M,Doktorikraad,Ei,Ei,"Jah, kindlasti",100%,Pigem jah,70%,Pigem ei,40%,Pigem ei,50%,Pigem vasakpoolne,60%,Pigem vasakpoolne,70%,Pigem parempoolne,50%,Pigem vasakpoolne,60%,Pigem ei,50%,Pigem jah,50%
4/20/2020 11:23:03,8 / 10,28,N,Bakalaureusekraad,Ei,Ei,Pigem jah,80%,Pigem ei,50%,Pigem jah,50%,"Jah, kindlasti",80%,Pigem parempoolne,30%,Pigem vasakpoolne,40%,Pigem parempoolne,30%,Kindlasti vasakpoolne,70%,Pigem ei,50%,Pigem jah,50%
4/20/2020 18:17:23,8 / 10,30,M,Magistrikraad,Ei,Ei,Pigem ei,30%,Pigem ei,70%,Pigem jah,90%,Pigem ei,60%,Pigem vasakpoolne,50%,Pigem vasakpoolne,70%,Pigem parempoolne,40%,Pigem vasakpoolne,50%,Pigem ei,20%,Pigem ei,30%
4/20/2020 18:42:05,6 / 10,65,M,Doktorikraad,Ei,Ei,Pigem jah,80%,Pigem jah,60%,Pigem jah,70%,Pigem jah,80%,Pigem vasakpoolne,60%,Pigem vasakpoolne,60%,Pigem parempoolne,60%,Pigem parempoolne,60%,Pigem ei,60%,Pigem ei,70%
4/20/2020 20:53:52,8 / 10,54,M,Magistrikraad,Ei,Ei,Pigem jah,60%,Pigem ei,60%,Kindlasti mitte,90%,Pigem ei,60%,Pigem vasakpoolne,70%,Pigem vasakpoolne,50%,Pigem parempoolne,30%,Pigem parempoolne,50%,Pigem ei,50%,Pigem jah,60%
4/21/2020 13:20:09,8 / 10,41,N,Bakalaureusekraad,Ei,Ei,Pigem ei,20%,Kindlasti mitte,10%,Pigem ei,20%,Kindlasti mitte,10%,Pigem vasakpoolne,60%,Pigem vasakpoolne,30%,Pigem parempoolne,20%,Pigem vasakpoolne,50%,Pigem ei,20%,Pigem jah,70%
4/21/2020 16:44:21,3 / 10,46,M,Doktorikraad,Ei,Ei,Kindlasti mitte,20%,Ma ei tea,40%,Pigem jah,60%,"Jah, kindlasti",70%,Pigem parempoolne,40%,Pigem parempoolne,40%,Pigem parempoolne,40%,Pigem parempoolne,40%,Pigem jah,40%,Pigem jah,40%
4/21/2020 17:44:47,9 / 10,41,M,Doktorikraad,Ei,Ei,Pigem jah,90%,Pigem ei,60%,Pigem jah,40%,Pigem ei,60%,Pigem parempoolne,10%,Pigem vasakpoolne,60%,Pigem parempoolne,60%,Pigem vasakpoolne,70%,Pigem ei,60%,Pigem jah,60%
4/21/2020 17:56:06,6 / 10,24,M,Bakalaureusekraad,Ei,Ei,Kindlasti mitte,30%,"Jah, kindlasti",90%,Pigem jah,60%,Pigem ei,90%,Pigem vasakpoolne,60%,Kindlasti vasakpoolne,90%,Pigem parempoolne,50%,Pigem parempoolne,50%,Pigem ei,50%,Pigem ei,50%
4/21/2020 18:31:47,7 / 10,19,M,Põhiharidus,Jah,Ei,Pigem jah,30%,Pigem jah,70%,"Jah, kindlasti",40%,Kindlasti mitte,60%,Kindlasti vasakpoolne,60%,Pigem parempoolne,60%,Kindlasti vasakpoolne,40%,Pigem vasakpoolne,70%,Pigem ei,70%,Pigem jah,80%
4/22/2020 9:34:13,6 / 10,30,N,Magistrikraad,Ei,Ei,Pigem jah,80%,Pigem ei,60%,"Jah, kindlasti",80%,Kindlasti mitte,30%,Kindlasti parempoolne,50%,Pigem parempoolne,30%,Pigem vasakpoolne,70%,Pigem vasakpoolne,50%,Ma ei tea,50%,Pigem jah,50%
